pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16183090150000,1005 WISCONSIN AVE,202,"One-story Residence, any age, up to 999 sq ft",24030,968,24.82,Nearby,1915,41.87021883,-87.80229069
16183130260000,1031 S KENILWORTH AVE,202,"One-story Residence, any age, up to 999 sq ft",29808,960,31.05,Nearby,1918,41.8694087,-87.79681602
16171020240000,511 S HARVEY AVE,202,"One-story Residence, any age, up to 999 sq ft",25780,993,25.96,Nearby,1923,41.87941634,-87.78103255
16182040310000,537 S SCOVILLE AVE,202,"One-story Residence, any age, up to 999 sq ft",25590,924,27.69,Nearby,1898,41.87845775,-87.78835761
16171020200000,538 S HIGHLAND AVE,202,"One-story Residence, any age, up to 999 sq ft",28045,991,28.3,Nearby,1903,41.87847443,-87.78174691
16171020210000,540 S HIGHLAND AVE,202,"One-story Residence, any age, up to 999 sq ft",24625,910,27.06,Nearby,1923,41.87841234,-87.7817082
16171100210000,609 S HARVEY AVE,202,"One-story Residence, any age, up to 999 sq ft",27250,873,31.21,Nearby,1914,41.87775578,-87.7809891
16182120110000,630 S EAST AVE,202,"One-story Residence, any age, up to 999 sq ft",25316,992,25.52,Nearby,1910,41.87687088,-87.78899331
16171090180000,638 S CUYLER AVE,202,"One-story Residence, any age, up to 999 sq ft",25868,945,27.37,Nearby,1943,41.87665507,-87.78285561
16182210080000,722 S SCOVILLE AVE,202,"One-story Residence, any age, up to 999 sq ft",24708,836,29.56,Nearby,1911,41.87535049,-87.78769823
16182210280000,735 GUNDERSON AVE,202,"One-story Residence, any age, up to 999 sq ft",21488,920,23.36,Nearby,1914,41.87499895,-87.78698997
16182210290000,737 GUNDERSON AVE,202,"One-story Residence, any age, up to 999 sq ft",21488,880,24.42,Nearby,1914,41.8749179,-87.78699636
16171160340000,737 S CUYLER AVE,202,"One-story Residence, any age, up to 999 sq ft",27170,988,27.5,Nearby,1908,41.87499191,-87.78336074
16182200270000,737 S SCOVILLE AVE,202,"One-story Residence, any age, up to 999 sq ft",22551,897,25.14,Nearby,1913,41.87488178,-87.78822953
16182200120000,738 S EAST AVE,202,"One-story Residence, any age, up to 999 sq ft",27172,986,27.56,Nearby,1913,41.8747769,-87.78889134
16171160350000,739 S CUYLER AVE,202,"One-story Residence, any age, up to 999 sq ft",23091,888,26,Nearby,1909,41.87490358,-87.7833615
16171160360000,741 S CUYLER AVE,202,"One-story Residence, any age, up to 999 sq ft",26179,888,29.48,Nearby,1909,41.87481114,-87.78336229
16182210140000,742 S SCOVILLE AVE,202,"One-story Residence, any age, up to 999 sq ft",27944,939,29.76,Nearby,1914,41.87472971,-87.78768491
16182280060000,816 S EAST AVE,202,"One-story Residence, any age, up to 999 sq ft",22590,907,24.91,Nearby,1912,41.87371211,-87.78886417
16182280130000,832 S EAST AVE,202,"One-story Residence, any age, up to 999 sq ft",21357,865,24.69,Nearby,1922,41.87314042,-87.78885213
