pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16073230250000,1013 WASHINGTON BLVD,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",30113,1320,22.81,Nearby,1888,41.88131225,-87.80066921
16073040020000,102 CLINTON AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",49421,2155,22.93,Ridgeland,1903,41.88664014,-87.79834086
16073090310000,1032 RANDOLPH ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",33681,1610,20.92,Ridgeland,1894,41.88349338,-87.80154395
16071280350000,105 N KENILWORTH AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40605,2028,20.02,Ridgeland,1870,41.88750717,-87.79738337
16074030350000,105 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42356,1716,24.68,Ridgeland,1897,41.88663755,-87.78821885
16073060030000,106 S GROVE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39483,1730,22.82,Ridgeland,1914,41.88656521,-87.79548823
16083050020000,106 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",33930,1500,22.62,Ridgeland,1904,41.88680572,-87.77615704
16074030370000,109 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",57356,2012,28.51,Ridgeland,1897,41.88647282,-87.78821426
16074050040000,110 S ELMWOOD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",29948,1302,23,Ridgeland,1878,41.88653293,-87.78599968
16074010020000,110 S EUCLID AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44989,2078,21.65,Ridgeland,1913,41.8864022,-87.79244589
16083050030000,110 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39010,1440,27.09,Ridgeland,1903,41.88667772,-87.77615816
16083010030000,114 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39772,1456,27.32,Ridgeland,1913,41.88641175,-87.78261934
16083020050000,114 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",48548,2198,22.09,Ridgeland,1908,41.88644098,-87.78103804
16083030040000,114 S LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42368,2050,20.67,Ridgeland,1905,41.88645899,-87.77939947
16083000190000,115 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",33970,1584,21.45,Ridgeland,1914,41.88640442,-87.78338712
16074020210000,115 S EAST AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35493,1626,21.83,Ridgeland,1908,41.88630516,-87.78986483
16073050150000,115 S GROVE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40809,1551,26.31,Ridgeland,1921,41.88621842,-87.79609354
16083040170000,115 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43596,2076,21,Ridgeland,1899,41.88648557,-87.77684312
16083030190000,115 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39368,1788,22.02,Ridgeland,1903,41.88646193,-87.77846198
16081210540000,116 LAKE ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40410,1996,20.25,Ridgeland,1881,41.88845402,-87.77906102
16074050100000,116 S ELMWOOD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",29650,1620,18.3,Ridgeland,1903,41.88627253,-87.78595319
16083020060000,116 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38403,1514,25.37,Ridgeland,1909,41.88634483,-87.78103887
